id,attribute_ids
1000483014d91860,147 616 813
1000fe2e667721fe,51 616 734 813
1001614cb89646ee,776
10041eb49b297c08,51 671 698 813 1092
100501c227f8beea,13 404 492 903 1093
10050ed12fbad46d,189 279 774 800 1051
100543a032517972,188 1034
1006665c0aad488,1010 1053
1007057734dba6df,189 541 542 993
1008abd71f3ed5bc,70 776 794 813 1046 1092
1008c7837081f985,79 1062
1009f5737fc77f2,188 668 754
100a0dcde728cb36,51 675
100a58282c6584bf,147 716 903 1092
100b45b7c4020f5d,161 489 704 1100
100bb499d37d0751,188 535
100bbf5e832083d3,51 212 426 586 940
100d750286e85bf3,13 616
100e1e65a6d7850e,737 1009 1046
100ef61c00e1b5d3,25 161 784 1059
100efeead4d0f90c,189 542 670 813 949 1092
100f00204964e81d,147 189 418 742 1072 1092
1010af4eeb3f95ee,194 480 483 485 813 1099
1012a188a1fd6166,13 813 896
1014806043fa009,156 1084
1014ac8807369589,103 180 573
1014daea6638d09a,147 1039
101534933c122e23,25 161 584 616 627 738 868
1015ddcd27215ca6,51 212 1059
101659003bdb1499,835 1059
101690dc24813dc5,51 538 747 813 1012 1092
101695e8cefdc9c4,13 813
1016dc1b22073bb3,156 543 753 961 1072
10175059b2aabb70,13 552
101861e383ec9973,13 1013
1018a55fce131346,156 228 1054
101b61e80e554985,156 274 538 663 1059
101bedd1744689b2,51 339 492 961
101c55520bafa9f0,13 501 670 871
101c8394ff6db02d,13 857
101e360e69aeb7b6,194 616 844
101e477104fc2bf7,13 668
101eb6f95ea25ab0,121 464
101f35d791be34cb,189 439 733 813
101f609f4bfff5e6,156 466 616 739 813
1020048f6714ed,147 616 1059 1092
10217714ab515f45,121
10219d8d2441fd3c,18 63 161 331 1062
1022d46462792863,131 420 477 671 768
10233e987552d468,51 733 813 952
1023eaa2b948cff2,13 1056
10245fc5f0c1bc53,501 548
10246e16d17d9b85,13 978
1024cf6962950d3d,114 217 1061
10260b5ce69150e3,477 671 738 1059
1026fd05a949a6bf,304 465 774
1027bc2aeca8e1a8,13 903 1092
1027e6c5c8e4c329,51 934
1028437b8bc9eeee,147 896 1092
10287ba3d06139e0,135 420 477 612 622 738 369
102894db9ed6cf3f,189 554 612 663 733 739
1029d2328092ea5d,147 671 780 950
102a85e0df297631,111 813 1092
102b178fae139a12,138 477 671 690 780 1058 369
102b312da3240f83,79 568
102c9239c03b183,121 448
102cb701e5718d70,147 639 1035
102ddf2255055175,189 252 573
102e0b4fbd90fa5d,335 730 757 1092
10301a06071f5dc8,13 744 929 1092
10303f46db29089c,13 1092
1032b100196dfb0e,99 744
1033055830394850,42 156 612 671 780
103356cb98f8432d,51 732
1033d832fd617e6,189 538 800 810 1092
1033e9987c841d5c,133 189 638 671 780 826 1035
1035395eac69843a,79 480 483 738 776 1099
10357357806fd865,116 161 487
1035b7bb16ac6861,79 477 624 886
1036067570313a49,79 961 1024
1037596d35059b86,121 683 724 813 835 1092
1037796180daaf55,13 663
103a729425811e95,121 487
103afcfbd66b7564,189 813 949 1092
103bbdc2619062b3,684
103bdf3269799137,99 718 813
103c45a513aa6019,13 698
103c9d42f39af074,922
103ea6481627ead1,51 483 975
10407b0ebada4963,259 422 639 1072
10410b3e487c8d13,121 922 955
1041f41d8742b7da,1005
1042b8fe16eaefb3,335 450 835
10430f003935ccc2,304 487
10440aa9ac074160,745 1059
104468f87dfe4aee,131 813 949 1032 1093
10468bea041274a3,552 780
10472fb2606a173e,191 780 1034
104737e74e765b8b,147 244 554 612
104748efce3447d7,156 485 603
104862b3c278b4f8,99 558 707 718
104869bde5162ef8,189 483 738 975
1048e4b13229f27d,438 369
104a2a7835758ff8,147 742 744 813 1092
104a6def7a03f626,163 464
104aa6660ce67379,121 473 1059
104ace4388140a92,161 204 754
104c4bfd6b5eec32,259 413 434 961
